Institution Name,Country,Number of Papers
"University of Wisconsin - Parkside 
",USA,1
Valparaiso University ,USA,1
Carnegie Mellon University ,USA,3
Learning Research & Development Center University of Pittsburgh ,USA,1
Computer Science and Artificial Intelligence Laboratory Massachusetts Institute of Technology ,USA,2
University of Edinburgh ,UK,12
Center for the Study of Language and Information Stanford University,USA,1
University of Brighton,UK,2
IBM T. J. Watson Research Center ,USA,1
University of Aberdeen,UK,16
Aerospace and Marine International,UK,1
University of Sheffield,UK,5
University of Pennsylvania ,USA,1
NTT Corporation ,Japan,1
University of Stuttgart,Germany,1
Department of Computer Science North Carolina State University ,USA,1
"Department of Informatics, Athens University of Economics and Business ",Greece,2
"National Centre for Language Technology, School of Computing, Dublin City University ",Ireland,1
"TECFA-FAPSE, University of Geneva",Switzerland,1
Macquarie University ,Australia,3
"Department of Computing Science, The Open University",UK,3
University of Texas at Austin,USA,2
Cambridge University ,UK,3
"Simpson Centre for Reproductive Health, Royal Infirmary of Edinburgh ",UK,2
University of Dundee ,UK,1
"ICT Centre, CSIRO, Sydney",Australia,1
UC Berkley,USA,3
Department of Computer Science University of Delaware,USA,1
Saarland University,Germany,3
Department of Computer Science National University of Singapore ,Singapore,1
Computer Science Department University of Illinois,USA,2
WatchSystem Assistance ,France,1
University Paris Diderot ,France,1
"Department of Linguistics, University of Bremen ",Germany,1
German Research Centre for Artificial Intelligence (DFKI) ,Germany,2
Heriot-Watt University ,UK,5
University of Tilburg,Netherlands,1
University of Maryland Institute for Advanced Computer Studies,USA,2
Microsoft Research,USA,1
University of Colorado Boulder,USA,1
University of Sterling,UK,1
University of Potsdam,Germany,1
University of Surrey,UK,1
University of Malta,Malta,1
Stony Brook University,USA,2
Columbia University,USA,1
University of Washington,USA,1
Simon Fraser University,Canada,2
Response42 Inc,Canada,1
University of the Basque Country ,Spain,1
University of Helsinki ,Finland,2
Bielefeld University ,Germany,1
Johns Hopkins HLTCOE ,USA,1
Yahoo! Research,Israel,1
"Thomson Reuters, Research & Development ",USA,1
Université de Montréal ,Canada,1
"Normandy University – UNICAEN GREYC, CNRS ",France,1
"amazon.com, Cambridge, MA",USA,1
Yahoo! Labs,USA,1
"Universite ́ de Lorraine, LORIA ",France,1
"CNRS, LORIA ",France,1
Arria NLG,UK,1
Met Office,UK,1
University of Massachusetts Lowell ,USA,1
,,
,,
,,
,,
,,
,,
,,
,,
,,