Author Name,Authorship Count
Sebastian Varges ,1
Regina Barzilay ,2
Mirella Lapata ,6
Jonathan C. Brown ,1
Gwen A. Frishkoff ,1
Maxine Eskenazi ,1
Susan Haller ,1
Michael Glass ,1
Daniel S. Paiva ,1
Roger Evans,1
Shimei Pan ,1
James C. Shaw ,1
Sandra Williams,4
Ehud Reiter,10
Ross Turner,4
Somayajulu Sripada ,6
Ryuichiro Higashinaka ,1
Rashmi Prasad ,1
Marilyn A. Walker ,4
Ian P Davy ,1
Johanna D. Moore ,1
Vera Demberg ,1
R. Michael Young ,1
Yun-Gyung Cheong ,1
Anja Belz,1
Dimitrios Galanis ,1
Ion Androutsopoulos ,2
Albert Gatt,3
Kees van Deemter,3
Swati Gupta,1
Daniela M. Romano,1
Deirdre Hogan,1
Conor Cafferkey,1
Aoife Cahill,1
Josef van Genabith,1
Saad Mahamood,2
Chris Mellish,4
François Mairesse ,3
Nicolas Szilas ,1
Richard Power,3
Paul Piwek,1
Yuk Wah Wong ,1
Raymond J. Mooney ,1
Kavita E. Thomas,1
François Portet,1
Jim Hunter,2
Yvonne Freer,2
Cindy Skyes,2
Norman Alm,1
Rolf Black,1
Martin Dempster,1
Annalu Waller,1
Verena Rieser ,2
Oliver Lemon,6
Robert Dale,2
Stephen Wan,1
Mark Dras,1
Céile Paris,1
Gabor Angeli,1
Percy Liang,2
Dan Klein,2
Seniz Demir  ,1
Sandra Carberry,1
Kathleen F. McCoy,1
Yansong Feng ,1
Konstantina Garoufi ,1
Alexander Koller,2
Dave Golland,1
Noah A. Smith,1
Michael Heilman,1
Wei Lu,1
Hwee Tou Ng  ,1
Wee Sun Lee,1
Milica Gašić,1
Filip Jurčíček ,1
Simon Keizer,2
Blaise Thomson,1
Steve Young,1
Barbara Di Eugenio,2
Swati Tata,1
Laurence Danlos,1
Frédéric Meunier,1
Vanessa Combet,1
Nina Dethlefs,1
Heriberto Cuayáhuitl ,1
Xingkun Liu,1
Advaith Siddharthan ,3
Jette Viethen   ,1
Markus Guhe,1
Allan Third,1
Yezhou Yang,1
Ching Lik Teo,1
Hal Daumé III,2
Yiannis Alomonos,1
Lee Becker,1
Sumit Basu,1
Lucy Vanderwende,1
Steven Blake,1
Hien Nguyen,1
Nirwan Sharma,1
Anne-Marie Robinson,1
Elaine O’ Mahony,1
Ben Darvill,1
Reńe van der Wal,2
Ching-Yun Chang,1
Stephen Clark,1
Markus Dräger,1
Alastair J. Gill,1
Carsten Brockmann,1
Jon Oberlander,1
Ioannis Konstas,1
Polina Kuznetsova ,1
Vicente Ordonez,1
Alexander C. Berg,2
Tamara L. Berg,2
Yejin Choi ,1
Jesse Dodge,1
Amit Goyal ,1
Kota Yamaguchi,1
Karl Stratos,1
Xufeng Han,1
Alyssa Mensch,1
Fred Popowich,2
Milan Mosny,1
David Lindberg,2
Matthew Green,1
Manex Agirrezabal ,1
Bertol Arrieta,1
Aitzol Astigarraga,1
Mans Hulden,1
Philipp Cimiano,1
Janna Lüker,1
David Nagel,1
Christina Unger,1
Dimitra Gkatzia,4
Helen Hastie,4
Srinivasan Janarthanam,1
Gerasimos Lampouras ,1
John Nesbit,1
Phil Winne,1
Margaret Mitchell ,2
Oleg Rokhenko,1
Idan Szpektor ,1
Frank Schilder,1
Blake Howald,1
Ravi Kondadadi,1
Ann H. Schneider,1
Alasdair Mort,1
Phil Wilson,1
Alessandro Valitutti,1
Hannu Toivonen,1
Antoine Doucet ,1
Jukka M. Toivanen ,1
Yun-Nung Chen ,1
Alexander I. Rudnicky ,1
Giuseppe Di Fabbrizio ,1
Amanda J. Stent ,1
Robert Gaizauskas ,1
Bikash Gyawali ,1
Claire Gardent ,1
Neil Burnett ,1
John Mastin ,1
Dave Evans ,1
Jesse Thomason ,1
Subhashini Venugopalan ,1
Sergio Guadarrama ,1
Kate Saenko ,1
Raymond Mooney ,1
Xingxing Zhang ,1
Dan Yu,1
Davide Fossati ,1
Neil McIntyre,1
Jan Schehl ,1
Ivana Kruijff-Korbayová ,1
Ciprian Gerstenberger,1
Olga Kukina ,1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,